Designator,Footprint,Quantity,Value,LCSC Part #
"C1_6, C1_5, C1_4, C1_3, C1_2, C1, C4_6, C4_5, C4_4, C4_3, C4_2, C4, C5_6, C5_5, C5_4, C5_3, C5_2, C5",805,18,0.1uF,C49678
"C2_6, C2_5, C2_4, C2_3, C2_2, C2, C3_6, C3_5, C3_4, C3_3, C3_2, C3",805,12,20pF,C105623
"C6_6, C6_5, C6_4, C6_3, C6_2, C6, C7_6, C7_5, C7_4, C7_3, C7_2, C7",805,12,47pF,C107118
"C8_6, C8_5, C8_4, C8_3, C8_2, C8",805,6,4700pF,C107153
"D1_6, D1_5, D1_4, D1_3, D1_2, D1, D2_6, D2_5, D2_4, D2_3, D2_2, D2",SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,12,MMBZ27VCLT1G,C128609
"J1_6, J1_5, J1_4, J1_3, J1_2, J1, J4_6, J4_5, J4_4, J4_3, J4_2, J4",PinHeader_1x03_P2.54mm_Vertical,12,Conn_01x03_Pin,
"J2_6, J2_5, J2_4, J2_3, J2_2, J2",CONN-TH_DB125-2.54-3P-GN,6,Screw_Terminal_01x03,C918121
"J3_6, J3_5, J3_4, J3_3, J3_2, J3",PinHeader_1x08_P2.54mm_Vertical,6,Conn_01x08_Pin,
"R1_6, R1_5, R1_4, R1_3, R1_2, R1, R2_6, R2_5, R2_4, R2_3, R2_2, R2",805,12,60,C185283
"SW1_6, SW1_5, SW1_4, SW1_3, SW1_2, SW1",SW-SMD_4P_DSHP02TSGET,6,SW_DIP_x02,C40735
"U1_6, U1_5, U1_4, U1_3, U1_2, U1",SOIC-14_3.9x8.7mm_P1.27mm,6,MCP2518FD,C626758
"U2_6, U2_5, U2_4, U2_3, U2_2, U2",SOIC-8_3.9x4.9mm_P1.27mm,6,MCP2562-E-SN,C124016
"Y1_6, Y1_5, Y1_4, Y1_3, Y1_2, Y1",CRYSTAL-SMD_4P-L5.0-W3.2-BL,6,20MHz,C112581